Symptoms,Frequency
irregular menstrual cycle,1
bad cramping,1
menstruation irregular ( non-serious ) onset,1
heavy menstrual bleeding ( non-serious ) onset,1
dysmenorrhoea ( non-serious ) onset,1
cramping,1
menstruation irregular,1
heavy menstrual bleeding,1
dysmenorrhoea,1
extremely heavy bad cramping,1
tired,1
achy,1
chills,1
fatigue,1
pain,1
side effects,1
diarrheal,1
thyroid disorder,1
long term thyroid disorder,1
mononucleosis,1
discomforting,1
diarrhoea ( non-serious ) onset oct2021,1
diarrhoea,1
diarrheal discharge goop intestinal matter,1
diarrhea,1
blood prior discharges,1
continuing disabling diarrhea,1
loss fluid,1
activated immune system viral complications,1
surprised reaction,1
lymph node swelling,1
exhaustion,1
nose running,1
sore arm jab site,1
jab soreness,1
gestational diabetes pre diabetes,1
pre-diabetes,1
vaccination site pain,1
rhinorrhoea,1
lymphadenopathy,1
thromboembolic events thrombocytopenia,1
exhaustion nose,1
soreness,1
torso covered rash,1
rash,1
entire body,1
"widespread , sevre erythrodermic skin eruption",1
lichenoid drug eruption,1
anxiety,1
depression,1
drug eruption,1
lichenoid dermatitis,1
pyrexia,1
severe reactions,1
patient pyrexia,1
fever,1
someone pain,1
patient pain,1
frustrated,1
patient s pain,1
headache,1
vomiting ( non-serious ) onset,1
stomach issues,1
abdominal pain upper ( non-serious ) onset nov2021,1
high blood pressure,1
hypertension ( non-serious ),1
rapid heartbeat,1
severe heart palpitations,1
heart rate increased,1
palpitations,1
painful lymph node,1
sore muscles,1
lyme disease,1
babesiosis,1
hashimoto s ``,1
autoimmune thyroiditis,1
lymph node pain,1
-swollen painful lymph node,1
myalgia,1
patient known allergies,1
swollen painful lymph node,1
tired sore muscles,1
extremely swollen arm pit lymph node,1
pain radiates chest fingers/joints,1
mobility decreased,1
patient headache,1
general aching,1
tingly sensation left arm,1
sort numbness,1
really bad head ache body ache,1
sore muscles/ muscle aches,1
little bit fever,1
paraesthesia ( non-serious ),1
hypoaesthesia ( non-serious ),1
pain ( non-serious ),1
blurred vision,1
noticeable change heart beat response excitement,1
pet dander allergy,1
vision blurred,1
heart rate abnormal,1
change heart beat response excitement,1
known allergies,1
seriousness conditions,1
pain shoulder blade neck little bit,1
loose bowel totally diarrhea,1
nausea,1
general malaise,1
neck pain ( non-serious ),1
musculoskeletal pain ( non-serious ),1
pain shoulder blade neck little bit ``,1
diarrhoea ( non-serious ),1
enlarged lymph node,1
rheumatoid arthritis,1
bad mood swings,1
manic episode,1
mental breakdown,1
mania,1
bipolar disorder,1
mental disorder,1
insomnia,1
mood swings ( non-serious ),1
feeling abnormal,1
bipolar disorder mania,1
urinary tract infection,1
urinary tract infections,1
left knee issue,1
pre-existing left knee issue,1
low blood pressure,1
low bp,1
syncope low blood pressures ),1
hurt back,1
syncope,1
syncope low blood pressures ) hurt back,1
ruptured disc,1
sinus pressure t-zone sinuses,1
congested,1
sinus pressure,1
dizziness,1
slight headache,1
hyperthyroidism,1
paranasal sinus discomfort,1
slight headache.,1
sinus pressure headache,1
injection site pain,1
axillary pain,1
hives rashes legs arms,1
rash ( non-serious ),1
urticaria,1
rash neck,1
warm,1
itchy,1
inflammation left armpit,1
axillary mass,1
pain excessive hurts,1
flu like symptoms,1
influenza like illness,1
tired flu-like symptoms,1
symptoms,1
patient flu-like symptoms haze,1
reporter seriousness events,1
influenza,1
head exploding,1
12dec symptoms,1
sick,1
allergy environmental items,1
sinuses irritating,1
stomach ache,1
aches,1
whole body hurts,1
breaking face,1
redness,1
rash developing cracks lips,1
anxiety/depression,1
high blood pressure ``,1
scoliosis implanted spinal rod,1
back/neck pain,1
abdominal pain upper ( non-serious ) onset,1
erythema ( non-serious ) onset dec2021,1
malaise,1
hypersensitivity,1
sinus disorder,1
new event,1
cracks lips,1
alopecia,1
pain arm shot,1
pain extremity ( non-serious ) onset,1
arthritis,1
arthritis ( non-serious ),1
lot stress right,1
soreness left arm,1
pain extremity,1
stress ( non-serious ),1
respiratory signs energy level impacted,1
body ache pain,1
fibromyalgia,1
similar flu even fibromyalgia,1
low grade temperature,1
left arm pain,1
atrial fibrillation,1
strong chills,1
shaking,1
cold,1
feverish irritated,1
tremor,1
irritability,1
dysuria,1
feeling cold,1
neuropathy,1
little bit sick month,1
pain legs,1
pain legs s numb,1
spinal muscular dystrophy,1
fibula right leg ankle sore,1
hit fibula right leg ankle sore,1
muscular dystrophy,1
sepsis,1
pericardial effusion,1
compound fracture,1
coughs thigh muscles rear sore,1
vertebras back abnormal,1
little nerves,1
trace tiny pieces copper,1
tuberculosis copper,1
hypoaesthesia,1
trace tiny pieces,1
trace tiny pieces copper x ray,1
s spinal muscular dystrophy,1
intoxicated,1
severe whole body pain,1
unable sleep,1
swelling arm pit,1
lump swollen collar bone,1
hurts touch,1
high cholesterol,1
seasonal allergies,1
peripheral swelling,1
mass ( non-serious ),1
hyperaesthesia,1
mass,1
headaches,1
right arm pain vaccination site,1
coughing,1
cough,1
result pain,1
nausea ( non-serious ),1
addison s disease,1
loss smell,1
hypothyroid,1
pcos,1
drug allergy,1
anosmia,1
patient loss smell,1
congenital anomaly,2
birth defect,2
disabling,1
incapacitating life threatening,1
arm pain,1
vomiting,1
pyrexia ( non-serious ),1
pain extremity ( non-serious ),1
fatigue ( non-serious ),1
lymph nodes swelling,1
painful,1
swollen,1
swelling,1
exposure pregnancy,1
lower back pain,1
back pain,1
type ii diabetes,1
vaccination failure,1
patient fever,1
body aches,1
hives itching,1
hands cheek,1
hypertension,1
hives itching started hands cheek,1
pruritus,1
toothache right upper molar,1
asthma,1
tested asthma,1
slight asthmatic,1
chronic cough,1
shingles,1
tooth infection,1
toothache,1
right upper molar,1
tooth root,1
much left tooth,1
positive covid infection,1
itching,1
osteoarthritis,1
vaccination site erythema,1
vaccination site mass,1
vaccination site swelling,1
swelling redness injection site,1
itch,1
sinus stuffy nose,1
"squamous cell carcinoma scalp , knee , upper calf",1
basal cell carcinoma lower calf,1
squamous cell carcinoma,1
squamous cell carcinoma upper calf,1
basal cell carcinoma,1
basal cell carcinoma inside elbow,1
squamous cell carcinoma skin,1
"squamous cell carcinoma scalp , knee , upper calf ``",1
nasopharyngitis,1
nasal congestion,1
squamous cell carcinoma scalp,1
sinus stuffy nose headache,1
upper calf basal cell carcinoma,1
cold sinus stuffy nose,1
cough headache,1
thankfully symptoms mild far,1
sore arm,1
much reaction time sore arm,1
hives burning,1
hypothyroidism,1
vaccination site urticaria,1
burning sensation,1
hives,1
left arm sore,1
nauseated,1
shortness breath,1
dyspnoea,1
headache exhaustion,1
tiredness,1
treatment events,1
speech thoughts,1
seizures,1
epilepsy,1
mental impairment ( non-serious ),1
speech disorder,1
thinking abnormal,1
seizure,1
mental impairment,1
vaccination known allergies,1
break infection,1
patient allergies,1
lack efficacy,1
psychosis,1
loss consciousness,1
psychotic disorder,1
chronic lymphocytic leukemia,1
severely immunocompromised ``,1
swollen welt injection site,1
swollen lymph node left armpit,1
vaccination site warmth,1
swollen lymph node,1
temperature injection site,1
swollen lymph node left armpit size softball,1
tested positive covid virus,1
chills tremor,1
nauseous,1
diabetic,1
hypertensive,1
body temperature,1
head discomfort,1
illness,1
body temperature increased,1
severely terrible sore throat swallowing,1
raspy voice,1
bad joint pain,1
runny nose,1
hot flashed,1
oropharyngeal pain ( non-serious ),1
dysphagia,1
dysphonia,1
arthralgia,1
hot flush ( non-serious ) onset dec2021,1
severely terrible sore throat,1
swallowing raspy voice,1
joint pain,1
child s,1
blood clot brain,1
stabbing pain,1
real bad stabbing pain,1
prolia,1
cerebral thrombosis,1
sneezing,1
running fever,1
still fever,1
"pain legs lower back hips bottom feet includes muscles , joints knees ankles",1
meniere s disease,1
vestibular migraines,1
vestibular migraine,1
meniere s disease vestibular migraines,1
myalgia ( non-serious ),1
myalgia arthralgia,1
bleeding menstrual cycle,1
rather strong headaches,1
strong headaches,1
headache fatigue,1
injection site burned,1
faint,1
excessive bleeding,1
sensitive hormones,1
several yeast infections,1
hormone level nos abnormal,1
hormonal issues,1
ovarian cyst,1
prone ovarian cysts,1
heavy menstrual bleeding ( non-serious ),1
menstruation irregular ( non-serious ),1
fungal infection,1
menstruation irregular fungal infection,1
mensural bleeding,1
major change,1
nasal congestion ( non-serious ),1
bad head cold,1
second dose swollen throat,1
issues swallowing,1
continuous struggles abnormal break hives,1
chronic state itchiness,1
lifted skin,1
abnormal break hives,1
pharyngeal oedema,1
swollen throat,1
urticaria pruritus,1
small hives eyes,1
slightly swollen,1
little swollen,1
swelling eyelid,1
urticaria swelling eyelid,1
psoriasis,1
breakthrough positive covid test full vaccination,1
lump,1
extreme pain,1
like lump,1
lymphadenopathy pain,1
symptoms minor,1
injection site,1
allergic rhinitis,1
iodine allergy,1
sulfonamide allergy,1
ear infection ears perforation bleeding,1
haemorrhage,1
ear infection ( non-serious ),1
chills fatigue,1
bleeding,1
patient bleeding,1
left sided arm injection site pain,1
tightness chest,1
chest pain,1
short breath difficulty,1
high cholesterol ``,1
premature menopause,1
thyroid function,1
chest discomfort,1
swollen lymph nodes left armpit,1
significant level pain,1
swollen lymph nodes,1
lymphadenopathy lymph node pain,1
red,1
itchy spot,1
"red , itchy spot",1
vaccination site pruritus,1
vaccination site rash,1
vaccination site,1
rash vaccination site swelling,1
feeling tired,1
low fever,1
peanut allergy,1
decreased appetite,1
injection site swollen,1
extremely swollen,1
somnolence,1
fairly severe reaction,1
flare,1
neurological pain,1
muscle pain,2
autoimmune disease,1
neurological involvement,1
neuralgia,1
dark pink discoloration right elbow,1
hot cold,1
breast cancer,1
skin discolouration,1
hot flush ( non-serious ) onset,1
body temperature change,1
patch rash,1
dark pink shaped discoloration,1
little warm,1
persisting flu like symptoms,1
congestion nose,1
pressure build ears,1
throat,1
soreness injection site,1
ear discomfort,1
pharyngeal disorder,1
feeling hot ( non-serious ),1
feeling hot,1
sore arm injection site,1
jittery,1
feeling jittery,1
hypersomnia,1
tumor left kidney,1
minor soreness injection site,1
diabetes type 2,1
low grade fever,1
terrible headache,1
body fatigue,1
poor quality sleep,1
dysgeusia ( non-serious ),1
parosmia,1
whole left side head shot,1
uncomfortable,1
cholesterol `` ( ongoing ),1
stroke,1
blood cholesterol abnormal,1
gastric disorder,1
tooth disorder,1
discomfort,1
nausea ( non-serious ) onset,1
balance disorder,1
breast cancer stroke,1
little headache fuzziness head,1
feeling abnormal ( non-serious ) onset feb2021,1
little headache fuzziness head ``,1
slightly tender site injection,1
full body aches,1
lymph node,1
"head feeling like vice , brain fog",1
tension headache,1
visual impairment,1
photopsia,1
massive headache,1
body temperature increased ( non-serious ),1
signs abated,1
whole body ache,1
pain ( non-serious ) onset mar2021,1
pain deep arm pit radiates breast tissue,1
pain deep arm pit,1
two pain,1
generalized body aches/soreness,1
hot flashes,1
anxiety ``,1
celiac ( gluten allergy ),1
chills ( fever ),1
hot flush,1
vomited,1
bad headache,1
confused,1
brain fog,1
hair nails `` ( unspecified ongoing ),1
stomach heart burn,1
dyspepsia,1
cardiac discomfort,1
confusional state,1
back bothering,1
chronic pain,1
feeling confused,1
affective disorder,1
blood disorder,1
hair disorder,1
nail disorder,1
blood pressure abnormal,1
buspirone taken affective disorder,1
cardiac disorder,1
abnormal ( non-serious ) onset feb2021,1
confusional state ( non-serious ),1
something clear virus brain,1
flare chronic pain,1
3 inch long red itchy area injection site,1
osteoporosis,1
adverse effects,1
long red itchy area injection site,1
painful shoulder gets elbow,1
tingling thumb finger,1
paraesthesia,1
"patient s arm , painful shoulder gets elbow",1
sore shoots arm,1
tingling numb tingling thumb finger,1
tingling,1
shoot pain arm,1
sore throat,1
oropharyngeal pain ( non-serious ) onset mar2021,1
oropharyngeal pain,1
rapid heart beat,1
side effect,1
confusing,1
sluggishness,1
arms sore,1
arm sore,1
diabetes mellitus,1
gland swelling,1
body ache,1
gland swelling neck clavicle,1
pain extremity ( non-serious ) onset mar2021,1
problems tooth,1
pain left hand,1
shingles right eye,1
sore arm ``,1
swelling lymph nodes armpits,1
lymphadenopathy ( non-serious ),1
weight gain,1
lot side effects symptoms,1
10 symptoms,1
mild headaches shots,1
mild copd,1
hidradenitis,1
cyst armpit,1
chronic obstructive pulmonary disease,1
mild copd ``,1
hidradenitis ( non-serious ),1
pain problems,1
infertility,1
pain around injection site,1
sharp pain,1
sleeping,1
loss appetite,1
depression `` ( ongoing ),1
stomach /stomach issues,1
high blood pressure `` ( ongoing ),1
gastrointestinal motility disorder,1
asthenia,1
little tired,1
sleepiness,1
something screw body,1
medication depression,1
sciatica attack,1
sciatica,1
severe pain back legs,1
severe back pain sciatica,1
fats stomach,1
cyst pancreas,1
gastritis,1
gastritis ( non-serious ) onset mar2021,1
abdominal mass ( non-serious ),1
pancreatic cyst,1
soreness site injection,1
discomfort soreness,1
similar symptoms,1
pain arm,1
fogginess,1
easily breathe pain shoulders,1
breathing difficult,1
pain shoulders ``,1
breathe pain shoulders,1
infection toe nails,1
infection,1
nail infection ( non-serious ),1
nervousness,1
gums mouth swollen tender,1
soreness arm injection site,1
tension stiffness,1
tension ( non-serious ),1
musculoskeletal stiffness,1
gingival swelling,1
tension,1
symptom,1
gums mouth swollen tender touch,1
mild decreased,1
autoimmune reaction,1
soreness arm,1
amount soreness,1
muscle soreness,1
creeping shoulder neck back base skull,1
tenderness swelling gums,1
still tender,1
severe symptom arm pain side,1
mild joint pain,1
baker s cyst,1
ongoing rheumatoid arthritis lupus,1
rheumatoid arthritis lupus,1
patient less pain,1
increased pain knee,1
increase pain,1
severe stomach pain,1
stomach ache unbearable,1
severe abdominal pain,1
abdominal pain,1
nature pain,1
lethargy,1
minimal soreness injection site,1
covid infection,1
delirious,1
adverse event,1
bladder cancer,1
crippled arthritis,1
hardly walk arthritis,1
osteoarthritis ``,1
`` allergies,1
hyperactive `` ( unspecified ongoing ),1
pneumonia,1
asthma attack,1
chickenpox,1
anastrozole bladder breast cancer,1
delirium,1
feeding disorder,1
omicron variant,1
walk arthritis,1
cancer beat,1
patient reaction,1
sore,1
pain rheumatoid arm,1
osteo knees,1
patient asthma attack,1
allergies,1
sneezing runny nose,1
sickness,1
