Disease_ncbi,Frequency_ncbi
dysmenorrhoea,25
oligomenorrhoea,8
`` thyroid disorder,1
long term thyroid disorder,1
`` mononucleosis ``,1
diarrhoea,94
diarrhea,395
`` gestational diabetes pre diabetes ``,1
`` pre-diabetes ``,2
fatigue,717
rhinorrhoea,31
lymphadenopathy,147
thrombocytopenia,32
sevre erythrodermic skin eruption,1
lichenoid drug eruption,2
lichenoid dermatitis,2
pyrexia,253
fever,496
headache,1246
`` headache ``,138
vomiting,406
hypertension,151
heart palpitations,69
heart palpitations ``,1
`` lyme disease ``,2
lyme disease,8
`` babesiosis ``,1
babesiosis,1
autoimmune thyroiditis,1
lymph node pain,19
myalgia,152
`` fatigue ``,63
hypoaesthesia,58
blurred vision,17
pet dander allergy,1
neck pain,81
musculoskeletal pain,2
`` pain shoulder blade neck,1
`` rheumatoid arthritis ``,10
`` bipolar disorder,4
dx bipolar disorder,1
bipolar disorder,5
mental disorder,2
mental breakdown ``,1
saturday,2
insomnia,109
lithium bipolar disorder,1
`` urinary tract infection ``,3
urinary tract infections,1
dizziness,533
`` hyperthyroidism ``,3
non-serious,13
paranasal sinus discomfort,12
headache.,1
axillary pain,47
rash,125
urticaria,84
"rash neck - warm , itchy",2
inflammation left armpit,4
nausea,502
stomach ache,3
anxiety/depression ``,2
`` scoliosis,3
spinal rod associated back/neck pain ``,2
allergy ``,1
`` diarrhea ``,44
abdominal pain,152
`` stomach ache ``,1
erythema,87
malaise,83
sinus disorder,3
alopecia,20
pain extremity,407
arthritis,84
`` arthritis ``,14
`` arthritis,4
fibromyalgia,23
body ache pain,2
pain,67
influenza,12
`` body ache pain,1
fibromyalgia ``,1
left arm pain,12
`` atrial fibrillation ``,2
tremor,40
irritability,5
dysuria,24
neuropathy,28
nausea ; pain legs,1
spinal muscular dystrophy,2
`` fibula right leg ankle sore ``,1
`` hit fibula right leg ankle sore ``,1
`` muscular dystrophy,1
`` pericardial effusion ``,1
`` compound fracture ``,1
`` neuropathy ``,4
muscular dystrophy,1
`` spinal muscular dystrophy,1
chills,130
peripheral swelling,41
hyperaesthesia,10
headaches,150
cough,251
achy,5
`` addison 's disease ``,1
addison 's disease,1
`` hypothyroid ``,6
hypothyroid,7
anosmia,15
congenital anomaly,10
birth defect,7
arm pain,8
`` fever ``,22
`` arm pain ``,10
`` vomiting ``,27
back pain,73
`` type ii diabetes ``,1
`` hypertension ``,32
pruritus,90
`` asthma ``,49
asthma,77
`` chronic cough ``,5
tooth infection,2
covid infection,55
`` osteoarthritis ``,5
osteoarthritis,13
rheumatoid arthritis,104
sinus stuffy nose,1
"squamous cell carcinoma scalp , knee , upper calf ; basal cell carcinoma",1
squamous cell carcinoma,9
`` basal cell carcinoma,2
basal cell carcinoma,5
`` squamous cell carcinoma,1
knee,1
nasopharyngitis,35
nasal congestion,111
elbow basal cell carcinoma,1
sinus stuffy nose headache,1
"squamous cell carcinoma scalp , knee , upper calf basal cell carcinoma",1
cough headache,3
`` hypothyroidism ``,15
hypothyroidism,33
`` depression ``,6
dyspnoea,58
`` epilepsy ``,3
mental impairment,9
speech disorder,17
`` seizures ``,1
seizure,22
psychotic disorder,1
`` chronic lymphocytic leukemia ``,1
`` diabetic ``,5
diabetic,16
head discomfort,19
bad joint pain,4
body aches,29
runny nose,99
oropharyngeal pain,54
dysphagia,17
dysphonia,4
arthralgia,155
`` bad joint pain ``,1
cerebral thrombosis,2
sneezing,13
`` meniere 's disease ``,3
meniere 's disease,7
`` vestibular migraine ``,1
meniere 's disease vestibular migraines,1
myalgia arthralgia,3
headache fatigue,8
`` ovarian cyst ``,1
ovarian cysts,1
heavy menstrual bleeding,5
irregular fungal infection,1
mensural bleeding,3
`` stuffy running nose ``,1
pharyngeal oedema,2
urticaria pruritus,2
swelling eyelid,9
urticaria swelling eyelid,1
psoriasis,17
`` dizziness,11
lymphadenopathy pain,1
`` allergic rhinitis ``,2
`` iodine allergy ``,2
iodine `` sulfonamide allergy ``,1
perforation bleeding,1
ear infection ears perforation bleeding,1
`` autism ``,4
haemorrhage,4
ear infection,7
``,119
autism,5
left sided arm injection site pain,1
chest pain,362
lymphadenopathy lymph node pain,2
`` peanut allergy ``,1
somnolence,28
neurological pain,2
muscle pain,47
`` autoimmune disease ``,2
neuralgia,11
`` neurological pain ``,1
`` muscle pain ``,14
breast cancer ``,3
skin discolouration,9
breast cancer,49
congestion nose,1
ear discomfort,7
pharyngeal disorder,2
influenza like illness,7
hypersomnia,8
`` tumor left kidney ``,1
`` diabetes type 2 ``,2
terrible headache,2
body fatigue,1
`` body fatigue,2
dysgeusia,18
parosmia,11
`` stomach ``,2
`` pain ``,18
`` breast cancer,11
cancer,44
`` stroke ``,10
gastric disorder,7
balance disorder,29
breast cancer stroke,1
fuzziness head,1
`` dizziness ``,47
`` nausea ``,53
tension headache,4
visual impairment,15
photopsia,3
`` anxiety ``,8
celiac ( gluten allergy ) ``,2
headache dizziness,8
`` stomach heart burn ``,1
acupuncturist,1
biotin taken hair disorder,1
nail disorder,2
dyspepsia,6
affective disorder,1
cardiac disorder,25
chronic pain,2
`` osteoporosis ``,7
`` painful shoulder gets elbow ``,1
paraesthesia,49
sore throat,185
sluggishness,4
`` diabetes mellitus ``,9
diabetes mellitus,24
gland swelling,1
body ache,16
`` gland swelling ``,1
tooth disorder,1
massive headache,4
hidradenitis,3
`` cyst armpit ``,1
chronic obstructive pulmonary disease,32
copd ``,1
`` hidradenitis ``,1
hidradenitis 2,1
loss appetite,9
gastrointestinal motility disorder,1
`` sleeping ``,1
asthenia,95
sciatica attack,1
sciatica,18
`` sciatica attack ``,1
back pain sciatica,1
cyst pancreas,1
gastritis,8
`` gastritis ``,2
`` fats stomach ``,1
pancreatic cyst,1
`` cyst pancreas ``,1
tiredness,15
fogginess,1
`` headaches ``,9
infection toe nails,1
nail infection,1
`` infection toe nails,1
gingival swelling,5
musculoskeletal stiffness,11
joint pain,75
joint pain ``,1
baker 's cyst behind one knee,2
rheumatoid arthritis lupus,3
stomach pain,30
stomach pain ``,2
abdominal pain ``,6
abdominal pain `` `` headache ``,1
lethargy,37
`` lethargy ``,4
`` bladder cancer ``,1
`` breast cancer ``,9
crippled arthritis,2
`` allergies ``,9
`` pneumonia ``,4
`` allergic penicillin ``,1
anastrozole bladder breast cancer,2
`` covid infection,2
delirium,4
pneumonia,113
anastrozole,1
bladder cancer,3
bladder cancer breast cancer,1
cancer veins,1
osteoarthritis rheumatoid arthritis cancer,1
tired-but rheumatoid arthritis,1
diarrhea cheesecake,1
covid omicron,1
diabetes,45
capa,7
excruciating body pain,1
joints spine,1
sciatica painful,2
`` excruciating body pain ``,1
spinal pain,6
`` joints spine,1
muscle spasms,53
spasms ``,1
painless spasms,1
chest discomfort,20
"numbness , tingling , light pain right leg",1
myocardial dysfunction,1
restless leg type symptoms,1
muscle weakness,15
sharp pain right lung similar pain pneumonia,1
injection site pain,5
101f fever,3
full body severe aches pains,3
bells palsy,14
facial numbness,4
dyspnea exertion,4
heart arrythmias syncope,1
radiating pain,4
throat neck ribs,3
sinus swelling headaches,1
night sweats,8
congestion,49
cough congestion,7
low grade fever,26
vertigo,99
bruise injury,1
myocarditis,129
hip joint pain,1
sacroiliac hip injury sciatica,12
inflammation,23
pseudogout right knee,1
wave abnormalities,1
mallory weiss tear,1
downtrending inflammation,1
pain left arm,2
anxiety,83
dizziness vertigo,6
covid pneumonia,49
esophagal spasm,1
painful extreme swelling elbow,1
bad headache,11
foot pain,3
pain left upper leg,1
sickle cell crisis,1
upper thigh/hip pain,1
pain limp,1
body ache headache,2
benign metallic taste mouth,1
exercise intolerance,1
excessive sweating,4
tachycardia,36
blurry vision,13
radiating pain chest shoulder,1
lightheadedness,36
mouth/throat swelling,1
itching,27
rash fever,3
stuffy nose,18
syncope,45
sinus congestion,35
joint pains,5
fatique,2
pain back head headache,1
lip swelling,16
facial swelling,11
kidney failure,5
cardiac arrest myocarditis,1
pm- stiff sore neck shoulders,1
airway obstruction,1
heart murmur,5
dvt right leg,1
pulmonary embolism,38
tpa,1
vitreous retraction eyes,1
retinal tears,2
monoparesis left leg,1
monoparesis leg / paresthesia left lower extremity cva tia,1
pericardial effusion,8
miscarriage,15
upper lower extremities,1
muscle tightness spasm,1
myocarditis pericarditis,2
6th cranial nerve palsy,1
hfreh,1
abnormal menstrual bleeding,1
myocartidis,1
