Symptom,Frequency
headache,1656
chills,1117
fever,1019
pain,866
fatigue,847
symptoms,841
nausea,827
dizziness,692
cough,479
chest pain,478
vomiting,471
body aches,363
shortness breath,362
diarrhea,359
rash,300
dizzy,293
pyrexia,255
sore throat,248
vaccination site pain,238
headaches,224
temperature excursion vaccine,224
vaccination failure,223
pain extremity,195
swelling,165
adverse events,165
malaise,164
pneumonia,162
weakness,161
hypertension,156
back pain,155
myalgia,145
vertigo,145
arthralgia,142
hives,141
abdominal pain,138
congestion,136
itching,135
anxiety,133
lymphadenopathy,130
sore arm,126
asthma,122
sob,121
tinnitus,120
palpitations,119
patient known allergies,119
itchy,114
pain extremity ( non-serious ),112
swollen,109
nauseous,109
tired,108
known allergies,102
insomnia,100
joint pain,99
myocarditis,96
migraine,96
nasal congestion,93
rheumatoid arthritis,89
diarrhoea,88
muscle pain,88
feeling abnormal,87
extreme fatigue,87
adverse event,86
tingling,80
heart palpitations,80
htn,80
runny nose,78
swollen lymph nodes,78
asthenia,77
pain extremity ( non-serious ) onset,76
neck pain,76
coughing,75
tiredness,75
redness,74
muscle aches,74
lethargy,71
numbness,71
difficulty breathing,71
paraesthesia,68
injection site pain,66
pruritus,66
side effects,65
urticaria,65
lightheadedness,65
high blood pressure,64
allergic reaction,64
pain ( non-serious ),63
arthritis,63
seizure,63
secondary side effects,63
fevers,62
painful,61
severe headache,61
syncope,60
sweating,60
flu like symptoms,59
arm pain,59
heavy menstrual bleeding,58
breast cancer,58
dyspnoea,57
bleeding,57
low grade fever,57
adverse reaction,57
wheezing,57
tachycardia,56
shaking,54
cold,54
high fever,54
short breath,54
copd,54
confusion,53
slight headache,52
loss consciousness,52
red,52
fatigued,52
lightheaded,52
sore,51
pain injection site,51
soreness,50
diabetes,50
heart attack,50
peripheral swelling,49
stroke,49
aches,48
hypersensitivity,48
decreased appetite,47
arm sore,47
nauseated,46
migraines,46
vaccination site swelling,45
inflammation,45
axillary pain,44
atrial fibrillation,44
burning sensation,44
discomfort,44
adverse reactions,44
chest tightness,44
asymptomatic,44
hypoaesthesia,43
stomach pain,43
lethargic,43
liver injury,43
oropharyngeal pain,42
muscle spasms,42
dyspnea,41
temperature excursion,40
brain fog,39
hypoxic,39
hypoxia,39
infection,38
covid19 breakthrough,38
depression,37
tremor,37
hypothyroidism,37
sneezing,37
injection site,37
afib,37
illness,36
loss appetite,36
sweats,35
hyperlipidemia,35
shingles,34
vaccination site erythema,34
chest discomfort,34
throat,34
arm soreness,34
covid-19 infection,34
fibromyalgia,33
weak,33
death,33
vomit,33
severe fatigue,33
ringing ears,33
blood clot,33
pericarditis,33
respiratory distress,33
tenderness,33
bad headache,32
uti,32
hyperhidrosis,32
rhinorrhoea,31
influenza,31
high blood pressure ``,31
fatigue ( non-serious ),31
swollen lymph node,31
body ache,31
unresponsive,31
myalgias,31
ear pain,31
covid symptoms,31
productive cough,31
flu,31
edema,31
lymph node pain,30
result pain,30
somnolence,30
balance disorder,30
diabetes mellitus,30
cad,30
nasopharyngitis,29
acute hypoxic respiratory failure,29
abdominal discomfort,29
swelling face,29
blurred vision,28
pe,28
constipation,28
itch,27
symptom,27
covid infection,27
reaction,27
acute distress,27
anxious,27
chest pains,27
movement disorder,27
sleep disorder,27
sinus infection,27
miscarriage,26
pulmonary embolism,26
dvt,26
gerd,26
muscular weakness,26
gait disturbance,26
rheumatoid arthritis flare,26
nausea ( non-serious ),25
side effect,25
night sweats,25
rashes,25
numb,25
hld,25
bell 's palsy,25
erythema,25
generalized weakness,25
appendicitis,25
dry cough,25
dehydration,25
menstrual disorder,25
left arm pain,24
seizures,24
vaccination site pruritus,24
cardiac disorder,24
severe pain,24
light headedness,24
thrombosis,24
sick,23
sepsis,23
vaccination site warmth,23
adverse effects,23
fainting,23
dementia,23
afebrile,23
tender,23
chf,23
penicillin allergy,23
heart rate increased,22
urinary tract infection,22
little tired,22
muscle soreness,22
sinus congestion,22
arrhythmia,22
hypotension,22
lymph node swelling,21
neuropathy,21
muscle weakness,21
severe chills,21
pale,21
blood clots,21
obesity,21
type 2 diabetes mellitus,21
achy,20
dysuria,20
seasonal allergies,20
lower back pain,20
vaccination site rash,20
confused,20
stuffy nose,20
lymph nodes,20
unwell,20
patient symptoms,20
throat tightness,20
mild headache,20
dry mouth,20
eye pain,20
vision blurred,19
soreness injection site,19
allergies,19
breast pain,19
immunocompromised,19
osa,19
low-grade fever,19
anaphylactic reaction,19
deep vein thrombosis,19
heart condition,19
dysmenorrhoea,18
exhaustion,18
influenza like illness,18
alopecia,18
uncomfortable,18
sharp pain,18
breakthrough infection,18
elevated heart rate,18
anemia,18
burning,18
severe nausea,18
acid reflux,18
menstrual cycle,18
gout,18
difficulty swallowing,18
ha,18
itchiness,18
leg pain,18
joint swelling,18
blister,18
cramping,17
stomach issues,17
body temperature,17
musculoskeletal stiffness,17
onset symptoms,17
hot,17
blurry vision,17
shoulder pain,17
feverish,17
dm,17
thrombocytopenia,17
aki,17
myocardial infarction,17
speech disorder,16
head discomfort,16
tightness chest,16
chronic obstructive pulmonary disease,16
pain arm,16
severe abdominal pain,16
mild fever,16
elevated troponin,16
hypotensive,16
allergic,16
slight fever,16
hematuria,16
little dizzy,16
peripheral neuropathy,16
disorientation,16
prostate cancer,16
diaphoretic,16
premenstrual symptoms,16
gastrooesophageal reflux disease,16
hip back pain,16
hepatocellular pattern liver injury,16
warmth,16
menstruation irregular,15
pyrexia ( non-serious ),15
epilepsy,15
psoriasis,15
high cholesterol ``,15
sore arm injection site,15
shivering,15
spasms,15
diplopia,15
cramps,15
worsening shortness breath,15
hair loss,15
chronic fatigue,15
acute respiratory failure hypoxia,15
cva,15
covid pneumonia,15
pancreatitis,15
respiratory tract congestion,15
vomiting ( non-serious ),15
epistaxis,15
dysgeusia,15
inflamed,15
rapid heartbeat,14
congested,14
sinus pressure,14
abdominal pain upper ( non-serious ) onset,14
anosmia,14
left arm sore,14
diabetic,14
running fever,14
faint,14
vomited,14
chronic pain,14
nerve pain,14
twitching,14
trouble breathing,14
weight loss,14
spotting,14
severe body aches,14
light-headedness,14
cancer,14
leukocytosis,14
breakthrough covid-19 infection,14
altered mental status,14
pains,14
disoriented,14
distension,14
abdominal tenderness,14
rhinorrhea,14
body pain,14
dull headache,14
bone pain,14
pain swelling,14
limb discomfort,14
injection site swelling,14
asthenia ( non-serious ),14
rash ( non-serious ),13
dysphagia,13
low fever,13
ear discomfort,13
hot flashes,13
osteoporosis,13
sore arm ``,13
sciatica,13
similar symptoms,13
nervousness,13
lack effect,13
acute kidney injury,13
tachypneic,13
dehydrated,13
cold sweats,13
flu-like symptoms,13
eczema,13
type 2 diabetes,13
morbid obesity,13
shaky,13
cold like symptoms,13
aches pains,13
colitis,13
vaginal bleeding,13
mild swelling,13
lip swelling,13
coronary artery disease,13
atraumatic,13
dizzy spells,13
upset stomach,13
restlessness,13
cellulitis,13
weak tired,13
little fever,13
low blood pressure,12
warm,12
toothache,12
osteoarthritis,12
confusional state,12
pain extremity ( non-serious ) onset mar2021,12
stiffness,12
tachycardic,12
clot,12
achiness,12
pleural effusion,12
bph,12
nonproductive cough,12
respiratory failure,12
covid positive,12
fever chills,12
acute respiratory failure,12
signs symptoms,12
muscle joint pain,12
crohn 's disease,12
chest congestion,12
murmur,12
acute renal failure,12
fall,12
exhausted,12
photophobia,12
rigors,12
mild symptoms,12
aching,12
ear infection,12
head injury,12
pulmonary fibrosis,12
light headache,12
taste disorder,12
abdominal distension,12
left leg,12
polymyalgia rheumatica,12
herpes zoster,12
blisters,12
drug bnt162b2,12
firmness,12
general malaise,11
paranasal sinus discomfort,11
excessive bleeding,11
heavy menstrual bleeding ( non-serious ),11
flare,11
